N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
100,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
150,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
200,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
250,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
300,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
50,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),32.9 (2.9),33.0 (2.5)
100,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),33.0 (2.9),33.0 (2.5)
150,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),33.0 (2.9),33.0 (2.5)
200,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),33.0 (2.9),33.0 (2.5)
250,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),33.0 (2.9),33.0 (2.5)
300,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),33.0 (2.9),33.0 (2.5)
50,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.8 (2.4)
100,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.9 (2.4)
150,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.9 (2.4)
200,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.9 (2.4)
250,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.9 (2.4)
300,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.9 (2.4)
50,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
100,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
150,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
200,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
250,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
300,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
50,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
100,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
150,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
200,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
250,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
300,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
50,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
100,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
150,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
200,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
250,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
300,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
50,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
100,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
150,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
